case_id,shape_mismatch,Dice_Myocardium,Dice_LA,Dice_LV,Dice_RA,Dice_RV,Dice_Aorta,Dice_PA,Dice_LAA,Dice_Coronary,Dice_PV,CC_Myocardium,CC_LA,CC_LV,CC_RA,CC_RV,CC_Aorta,CC_PA,CC_LAA,CC_Coronary,CC_PV,Conn_PV_LA,Conn_LAA_LA,Conn_Cor_MyoAo
325,False,0.9426587086122261,0.9770621292813683,0.9837808402523316,0.9741709872448892,0.9612538329767877,0.9510752193567721,0.9197348331958655,0.7909404286457369,0.41170194989652825,0.8469509210979463,1,2,1,1,1,2,4,1,2,3,1.0,1.0,1.0
815,False,0.9481761443374399,0.9553543001168354,0.979570049507634,0.9699397875473286,0.9300633687948381,0.9547433037522502,0.867901204166564,0.8122590705412471,0.40052303359485014,0.8008955852913286,1,1,1,1,1,2,3,1,2,2,1.0,1.0,1.0
24,False,0.9448280165984441,0.9703284400608374,0.9806575510325086,0.9687767165837792,0.9326785448168544,0.9596373761029167,0.9001678812621619,0.8666838082326266,0.3982338331340263,0.8456861501734492,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
892,False,0.9471762764731144,0.9744785883982188,0.9789877855718783,0.9709465078201098,0.9389685657428504,0.9572146674929776,0.9233291558653367,0.7842063299476548,0.5394651481294601,0.8697931199425998,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
695,False,0.931989947339806,0.9767355462818353,0.9841168460483531,0.9761506233891916,0.9567938127459141,0.9481026164534933,0.8389259093423236,0.8424145902902646,0.36755204594400576,0.8518968242563587,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
544,False,0.9405674757475683,0.9648646012520172,0.9798805461915097,0.9739924753648405,0.9478733833541503,0.9589598600963897,0.9035737057841202,0.8250105520543758,0.5727502921698481,0.8590732969613958,1,1,1,1,1,2,2,1,1,3,1.0,1.0,1.0
717,False,0.952968700160924,0.9737194756193635,0.9827041682805471,0.9707051552931371,0.9548591929264257,0.9566793472381979,0.9108493734848263,0.8122954937341317,0.6106307533756048,0.8678834478427193,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
665,False,0.9499782472316297,0.9798464049196984,0.9822882210805358,0.9741794418744331,0.9502603980820812,0.9558639272990761,0.8865426668130124,0.8257713551487643,0.487706405371076,0.8624946557052636,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
771,False,0.9345561159641289,0.9742668862483431,0.9818206984998651,0.9685909164162408,0.9504831513005108,0.9530459826720147,0.9364698000067,0.7347574445524432,0.3578764839269041,0.8700270352381062,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
957,False,0.9440226856904518,0.9731337275550948,0.9780447698768743,0.9765559771511709,0.9481060792742726,0.9582486057814915,0.9152219599659844,0.85439453125,0.42573634303935554,0.8607504223045028,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
831,False,0.9513687201005764,0.9749837483522635,0.9815586801384866,0.9744992030041165,0.9531384787578446,0.9599596687125097,0.9191050043739254,0.8397808655199853,0.4028135262270347,0.8665114098276804,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
713,False,0.943390371615634,0.9710787213401794,0.9816338078628817,0.9736295815226486,0.9510891337609746,0.960429666318306,0.8655013286550133,0.8166696589816976,0.5137927162480818,0.8587375780666955,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
98,False,0.9449765753977591,0.9727298074902614,0.9812445350549326,0.9738692312602396,0.9430384495515566,0.9574785161257432,0.9131447467009017,0.6947687749126953,0.5366737825754219,0.8799277206180625,1,2,1,1,1,2,1,1,1,2,1.0,1.0,1.0
372,False,0.9452372717623346,0.9730020189390172,0.984722018154096,0.963598189064001,0.9419901677779914,0.9534588440035161,0.9152181694263706,0.7148433711570168,0.23407093265843565,0.8396164650709261,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
185,False,0.9455876749772218,0.9733855011807392,0.9762200104277721,0.9616619299561843,0.9480388578345182,0.9471962085447135,0.916704048446787,0.7585934031999692,0.4875606861581616,0.8734503154898525,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
501,False,0.9502246982641456,0.976587243006132,0.9822811437776029,0.9775399405214745,0.9501031095124441,0.9583215117544982,0.8605156975353864,0.8190199847666025,0.41043518411635693,0.8015727270267031,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
91,False,0.9419397361221954,0.9757068343323865,0.9786523691888849,0.9689178193653377,0.9449706617375355,0.9546987868303195,0.9098845386762247,0.7021263750196216,0.5030126173031302,0.8750407029697831,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
571,False,0.9421385648753852,0.975837097151982,0.98270496181376,0.9666992639868238,0.9528093641319518,0.957377020961627,0.9290772580765293,0.7610980392156863,0.38129421120924195,0.8438492535566054,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
588,False,0.9458356002974686,0.9737566493481205,0.9784386484248897,0.9690506461223173,0.9518957465549708,0.9555289185017624,0.9071325985331733,0.7556858911697621,0.5513284491128961,0.854373463050385,1,1,1,1,1,2,2,1,2,3,1.0,1.0,1.0
263,False,0.9449403968280904,0.9725351137213619,0.9840158360743492,0.9743176596920273,0.9598345446490754,0.9577747449990097,0.8921527196374702,0.780110541573462,0.43359995690932107,0.8475652048735163,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
164,False,0.9307046375710575,0.9708368876347829,0.9817209039540999,0.9764426087837087,0.9490265759570955,0.9538742586116727,0.8352324444594276,0.8460324915399159,0.45682486483068263,0.8572853330398658,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
916,False,0.9510477806954794,0.9731808463315588,0.9821914551237212,0.9737438058179348,0.9459482839888871,0.9587747637619575,0.8916016509997446,0.8287782059957047,0.3957684646179434,0.878162062924915,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
329,False,0.9400756771821505,0.968531534192273,0.9795917626714522,0.9746026522580286,0.9386234193699491,0.9608936639870993,0.9250702173086569,0.7752551184134523,0.5392349406419463,0.8555527280609985,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
357,False,0.9438326682292647,0.9727475415923837,0.9823134992582825,0.9663020156360527,0.9443450826789036,0.9532429239068957,0.8882641038464831,0.8233523732819007,0.42181104335477404,0.8691954637711019,1,1,1,1,1,2,2,1,2,2,1.0,1.0,1.0
671,False,0.9446647652357982,0.971996909338688,0.9790672176144162,0.9777920098075712,0.948467103959883,0.9539724122317631,0.8889446353761633,0.808393471744199,0.5300646376129348,0.8753693813248054,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
