filename,original_cc,final_cc
871_refined.npy,2,2
897_refined.npy,12,2
194_refined.npy,5,1
464_refined.npy,10,2
771_refined.npy,5,2
873_refined.npy,9,2
191_refined.npy,6,2
181_refined.npy,3,2
866_refined.npy,8,2
736_refined.npy,6,2
187_refined.npy,5,2
359_refined.npy,6,1
63_refined.npy,4,2
991_refined.npy,5,2
512_refined.npy,4,2
588_refined.npy,3,2
646_refined.npy,6,2
387_refined.npy,4,2
511_refined.npy,9,2
615_refined.npy,4,1
474_refined.npy,6,2
795_refined.npy,5,2
786_refined.npy,6,2
999_refined.npy,5,2
214_refined.npy,6,2
270_refined.npy,9,1
289_refined.npy,3,1
766_refined.npy,3,2
717_refined.npy,1,1
587_refined.npy,1,1
905_refined.npy,3,1
182_refined.npy,6,2
609_refined.npy,5,2
913_refined.npy,11,2
855_refined.npy,8,2
296_refined.npy,6,2
80_refined.npy,9,2
377_refined.npy,2,1
56_refined.npy,8,2
382_refined.npy,8,2
133_refined.npy,4,2
444_refined.npy,5,2
799_refined.npy,10,2
746_refined.npy,2,2
79_refined.npy,8,2
236_refined.npy,3,2
315_refined.npy,4,2
453_refined.npy,4,2
554_refined.npy,3,2
1000_refined.npy,9,2
977_refined.npy,3,2
225_refined.npy,3,1
486_refined.npy,8,2
251_refined.npy,7,2
645_refined.npy,7,2
301_refined.npy,4,2
374_refined.npy,5,1
740_refined.npy,4,1
934_refined.npy,6,1
237_refined.npy,1,1
520_refined.npy,3,1
796_refined.npy,1,1
487_refined.npy,6,2
894_refined.npy,7,2
499_refined.npy,5,2
131_refined.npy,10,2
728_refined.npy,2,2
950_refined.npy,8,2
338_refined.npy,4,2
641_refined.npy,2,1
901_refined.npy,10,2
730_refined.npy,2,2
163_refined.npy,4,1
546_refined.npy,2,2
9_refined.npy,7,1
86_refined.npy,7,2
665_refined.npy,3,1
710_refined.npy,1,1
418_refined.npy,9,2
734_refined.npy,17,2
756_refined.npy,8,2
896_refined.npy,1,1
403_refined.npy,4,2
908_refined.npy,5,1
466_refined.npy,6,2
82_refined.npy,2,2
947_refined.npy,5,2
987_refined.npy,1,1
137_refined.npy,2,2
701_refined.npy,5,2
384_refined.npy,6,2
614_refined.npy,4,2
968_refined.npy,7,2
986_refined.npy,3,1
391_refined.npy,5,2
400_refined.npy,5,2
477_refined.npy,9,2
801_refined.npy,5,2
119_refined.npy,6,1
247_refined.npy,5,1
341_refined.npy,8,2
211_refined.npy,13,2
216_refined.npy,4,2
536_refined.npy,4,2
426_refined.npy,3,2
604_refined.npy,5,2
21_refined.npy,13,2
353_refined.npy,5,2
983_refined.npy,6,2
779_refined.npy,7,2
924_refined.npy,3,2
842_refined.npy,4,2
283_refined.npy,6,2
124_refined.npy,6,2
501_refined.npy,6,2
752_refined.npy,5,1
929_refined.npy,6,1
19_refined.npy,4,2
223_refined.npy,2,2
938_refined.npy,3,2
677_refined.npy,12,2
861_refined.npy,6,2
52_refined.npy,3,2
235_refined.npy,9,2
813_refined.npy,2,1
867_refined.npy,4,2
774_refined.npy,5,2
277_refined.npy,6,2
149_refined.npy,10,2
720_refined.npy,3,2
103_refined.npy,9,2
396_refined.npy,4,2
642_refined.npy,7,2
468_refined.npy,4,2
680_refined.npy,6,2
105_refined.npy,7,2
508_refined.npy,6,2
24_refined.npy,5,2
992_refined.npy,4,2
942_refined.npy,6,2
87_refined.npy,8,2
185_refined.npy,4,2
127_refined.npy,6,2
375_refined.npy,8,2
781_refined.npy,4,2
916_refined.npy,9,2
7_refined.npy,7,2
971_refined.npy,7,2
491_refined.npy,3,2
551_refined.npy,5,2
672_refined.npy,4,2
975_refined.npy,6,2
892_refined.npy,7,2
493_refined.npy,8,2
502_refined.npy,4,2
878_refined.npy,6,2
178_refined.npy,5,2
207_refined.npy,5,2
360_refined.npy,6,2
656_refined.npy,7,2
5_refined.npy,7,2
874_refined.npy,5,2
791_refined.npy,6,2
421_refined.npy,2,2
154_refined.npy,4,2
770_refined.npy,8,2
750_refined.npy,6,2
195_refined.npy,3,1
895_refined.npy,5,2
324_refined.npy,8,1
904_refined.npy,7,2
794_refined.npy,6,2
337_refined.npy,8,2
522_refined.npy,2,2
363_refined.npy,5,2
964_refined.npy,6,2
951_refined.npy,7,2
75_refined.npy,11,2
12_refined.npy,5,2
260_refined.npy,6,2
378_refined.npy,3,2
803_refined.npy,4,1
201_refined.npy,4,2
788_refined.npy,1,1
727_refined.npy,9,2
911_refined.npy,7,2
649_refined.npy,5,2
460_refined.npy,5,2
624_refined.npy,6,2
62_refined.npy,5,1
167_refined.npy,5,2
311_refined.npy,5,2
909_refined.npy,9,2
298_refined.npy,7,2
293_refined.npy,10,2
342_refined.npy,6,2
213_refined.npy,11,2
169_refined.npy,13,2
69_refined.npy,7,2
559_refined.npy,3,2
748_refined.npy,4,2
815_refined.npy,3,2
560_refined.npy,4,2
202_refined.npy,5,2
666_refined.npy,5,2
229_refined.npy,4,2
271_refined.npy,3,1
685_refined.npy,3,1
632_refined.npy,2,2
660_refined.npy,6,2
78_refined.npy,5,2
529_refined.npy,2,1
108_refined.npy,7,2
222_refined.npy,9,2
100_refined.npy,5,2
392_refined.npy,4,2
989_refined.npy,3,2
49_refined.npy,4,1
937_refined.npy,2,1
859_refined.npy,9,2
395_refined.npy,5,2
707_refined.npy,2,2
713_refined.npy,4,2
475_refined.npy,6,2
472_refined.npy,4,2
233_refined.npy,1,1
34_refined.npy,7,2
777_refined.npy,10,2
268_refined.npy,5,2
388_refined.npy,5,2
492_refined.npy,5,2
389_refined.npy,6,2
860_refined.npy,1,1
749_refined.npy,7,2
918_refined.npy,4,2
945_refined.npy,4,2
948_refined.npy,4,2
451_refined.npy,6,2
390_refined.npy,4,2
329_refined.npy,3,2
764_refined.npy,6,2
519_refined.npy,3,2
85_refined.npy,8,2
643_refined.npy,2,1
372_refined.npy,12,2
471_refined.npy,9,2
35_refined.npy,5,2
303_refined.npy,4,2
114_refined.npy,5,2
759_refined.npy,5,2
490_refined.npy,6,2
370_refined.npy,3,1
494_refined.npy,2,2
373_refined.npy,2,2
792_refined.npy,9,2
762_refined.npy,4,2
57_refined.npy,7,2
620_refined.npy,4,2
452_refined.npy,7,2
851_refined.npy,5,2
134_refined.npy,5,2
61_refined.npy,5,2
381_refined.npy,3,1
761_refined.npy,3,1
557_refined.npy,4,2
651_refined.npy,5,1
465_refined.npy,5,2
282_refined.npy,5,2
275_refined.npy,12,2
115_refined.npy,6,2
644_refined.npy,7,2
264_refined.npy,4,1
566_refined.npy,6,2
206_refined.npy,11,2
259_refined.npy,1,1
121_refined.npy,5,2
4_refined.npy,7,2
111_refined.npy,6,2
514_refined.npy,3,2
428_refined.npy,7,2
354_refined.npy,6,2
120_refined.npy,6,2
825_refined.npy,5,2
595_refined.npy,12,2
433_refined.npy,4,2
362_refined.npy,6,2
613_refined.npy,8,2
590_refined.npy,2,2
470_refined.npy,1,1
923_refined.npy,9,2
242_refined.npy,4,2
517_refined.npy,4,2
352_refined.npy,11,2
416_refined.npy,9,2
928_refined.npy,3,2
330_refined.npy,7,2
58_refined.npy,5,2
955_refined.npy,3,2
139_refined.npy,4,2
405_refined.npy,5,2
46_refined.npy,14,2
254_refined.npy,2,1
258_refined.npy,4,2
700_refined.npy,10,2
671_refined.npy,4,1
507_refined.npy,6,2
943_refined.npy,4,2
553_refined.npy,6,2
640_refined.npy,6,2
612_refined.npy,5,1
932_refined.npy,5,2
417_refined.npy,6,2
358_refined.npy,3,2
478_refined.npy,5,1
626_refined.npy,4,1
821_refined.npy,3,2
165_refined.npy,2,1
833_refined.npy,7,2
308_refined.npy,3,2
461_refined.npy,5,2
818_refined.npy,10,2
434_refined.npy,7,2
757_refined.npy,3,2
636_refined.npy,10,2
420_refined.npy,2,2
305_refined.npy,2,2
118_refined.npy,3,1
599_refined.npy,6,2
563_refined.npy,1,1
505_refined.npy,9,2
745_refined.npy,4,1
240_refined.npy,4,2
893_refined.npy,5,1
944_refined.npy,7,2
726_refined.npy,8,1
616_refined.npy,7,2
402_refined.npy,3,1
447_refined.npy,8,2
776_refined.npy,8,2
351_refined.npy,4,2
83_refined.npy,7,2
998_refined.npy,7,2
323_refined.npy,5,2
304_refined.npy,13,2
828_refined.npy,6,2
820_refined.npy,11,2
561_refined.npy,2,1
564_refined.npy,8,2
409_refined.npy,8,2
638_refined.npy,7,2
543_refined.npy,9,2
635_refined.npy,7,2
467_refined.npy,3,2
857_refined.npy,7,2
593_refined.npy,4,2
144_refined.npy,4,2
272_refined.npy,6,2
435_refined.npy,11,2
690_refined.npy,5,2
93_refined.npy,8,2
336_refined.npy,3,2
376_refined.npy,7,2
332_refined.npy,5,2
101_refined.npy,2,2
331_refined.npy,7,2
176_refined.npy,3,2
854_refined.npy,7,2
162_refined.npy,8,2
436_refined.npy,3,2
174_refined.npy,2,1
631_refined.npy,5,2
834_refined.npy,7,2
747_refined.npy,7,2
840_refined.npy,4,2
725_refined.npy,8,2
170_refined.npy,5,2
138_refined.npy,4,2
385_refined.npy,8,2
625_refined.npy,6,2
88_refined.npy,9,1
805_refined.npy,7,2
881_refined.npy,5,2
449_refined.npy,5,1
28_refined.npy,8,2
939_refined.npy,4,2
344_refined.npy,8,2
699_refined.npy,11,2
295_refined.npy,5,1
349_refined.npy,5,2
958_refined.npy,2,1
702_refined.npy,6,2
960_refined.npy,9,2
166_refined.npy,2,1
485_refined.npy,3,2
509_refined.npy,6,2
102_refined.npy,7,2
538_refined.npy,6,2
280_refined.npy,3,1
684_refined.npy,5,2
150_refined.npy,7,2
676_refined.npy,2,1
18_refined.npy,7,2
814_refined.npy,6,2
829_refined.npy,7,2
933_refined.npy,4,2
782_refined.npy,8,2
621_refined.npy,2,1
686_refined.npy,5,2
77_refined.npy,5,2
348_refined.npy,4,2
785_refined.npy,1,1
797_refined.npy,6,1
23_refined.npy,4,2
215_refined.npy,3,1
67_refined.npy,2,2
691_refined.npy,11,2
622_refined.npy,7,2
113_refined.npy,3,2
313_refined.npy,4,2
70_refined.npy,4,2
852_refined.npy,8,2
956_refined.npy,3,2
440_refined.npy,6,2
970_refined.npy,6,2
25_refined.npy,6,2
875_refined.npy,1,1
68_refined.npy,5,2
192_refined.npy,5,2
8_refined.npy,8,2
683_refined.npy,7,2
540_refined.npy,4,2
531_refined.npy,4,2
870_refined.npy,7,2
190_refined.npy,4,2
27_refined.npy,7,2
371_refined.npy,11,2
179_refined.npy,3,1
743_refined.npy,5,2
880_refined.npy,6,2
367_refined.npy,7,2
931_refined.npy,4,1
724_refined.npy,7,2
142_refined.npy,6,2
29_refined.npy,7,2
883_refined.npy,15,2
927_refined.npy,6,2
